0	MT314593|B/California/01/2020_Victoria
1	MZ951612|B/Missouri/CS20N174Pl/2020_Victoria
2	MN435008|B/Alaska/04/2019_Victoria
3	MT466611|B/Arizona/11/2020_Victoria
4	MW626004|B/District Of Columbia/10/2020_Victoria
5	MN061251|B/Moscow/3/2019_Victoria
6	MN155828|B/Alaska/03/2019_Victoria
7	MN881513|B/California/52/2019_Victoria
8	ON369762|B/Rhode Island/01/2022_Victoria
9	OP010898|B/Nebraska/01/2022_Victoria
a	ON369754|B/Montana/02/2022_Victoria
b	MH135933|B/Arizona/93/2017_Victoria
c	MT342749|B/Alabama/06/2020_Victoria
d	MH363071|B/Delaware/12/2018_Victoria
e	MN061243|B/Moscow/2/2019_Victoria
f	CY218276|B/California/82/2016_Victoria
10	MH080820|B/California/63/2017_Victoria
11	CY182593|B/Nicaragua/AGB2-34/2012_Victoria
13	CY182625|B/Nicaragua/AGB2-39/2012_Victoria
14	CY182657|B/Nicaragua/AGB2-48/2012_Victoria
15	CY150275|B/Brisbane/10/2011_Victoria
16	CY154618|B/Brisbane/124/2011_Victoria
17	CY154138|B/Waikato/13/2011_Victoria
18	CY182545|B/Nicaragua/AGB2-25/2012_Victoria
19	CY150291|B/South Auckland/2/2011_Victoria
1a	JX513158|B/Thailand/CU-H1896/2010_Victoria
1b	CY040378|B/Taiwan/40/2007_Victoria
1c	CY040401|B/Taiwan/2894/2006_Victoria
1d	CY018381|B/St. Petersburg/14/2006_Victoria
1e	JX513142|B/Thailand/CU-364/2008_Victoria
1f	CY018373|B/Michigan/04/2006_Victoria
20	CY151625|B/Auckland/4/2005_Victoria
21	CY152145|B/Brisbane/60/2005_Victoria
22	CY019523|B/Nepal/1331/2005_Victoria
23	EU124274|B/Malaysia/2506/2004_Victoria
24	CY151921|B/Christchurch/209/2005_Victoria
25	CY018725|B/Paraguay/636/2003_Victoria
26	CY019499|B/Illinois/13/2005_Victoria
27	CY152137|B/Brisbane/77/2005_Victoria
28	CY019587|B/South Carolina/04/2003_Victoria
29	CY018517|B/Hawaii/13/2004_Victoria
2a	CY174329|B/New York/1055/2003_Victoria
2b	CY151105|B/Victoria/156/2002_Victoria
2c	CY151401|B/Townsville/5/2002_Victoria
2d	CY151425|B/Victoria/162/2002_Victoria
2e	CY019563|B/Iowa/03/2002_Victoria
2f	CY040417|B/Taiwan/3246/2002_Victoria
30	CY018557|B/Osaka/547/1997_Victoria
31	CY018669|B/Hong Kong/167/2002_Victoria
32	CY019507|B/Hawaii/10/2001_Victoria
33	CY018645|B/Hong Kong/22/2001_Victoria
34	CY018709|B/Hong Kong/330/2001_Victoria
35	CY019627|B/Czechoslovakia/69/1990_Victoria
36	CY018757|B/Victoria/02/1987_Victoria
37	OL334986|B/Egypt/2221/2018_Yamagata
38	OL354598|B/Egypt/2209/2018_Yamagata
3d	MH130602|B/Washington/04/2018_Yamagata
3f	MN061259|B/Moscow/5/2019_Yamagata
40	MH136237|B/Michigan/07/2018_Yamagata
41	MN061235|B/Grozny/6/2019_Yamagata
42	MH245246|B/Alabama/07/2018_Yamagata
43	CY256549|B/Alabama/11/2017_Yamagata
44	CY201329|B/Singapore/Imh015/2014_Yamagata
45	CY201193|B/Singapore/Kk262/2014_Yamagata
46	CY197137|B/Singapore/7/2012_Yamagata
47	CY197161|B/Singapore/10/2012_Yamagata
48	CY197777|B/Singapore/22/2012_Yamagata
49	CY197785|B/Singapore/24/2012_Yamagata
4a	MZ603929|B/USA/9/2017_Yamagata
4d	CY197905|B/Brisbane/3/2013_Yamagata
4e	CY198537|B/Singapore/Tt218/2013_Yamagata
4f	CY198513|B/Singapore/Kk139/2013_Yamagata
50	CY200201|B/Singapore/Gp1312/2013_Yamagata
51	CY200385|B/Brisbane/134/2013_Yamagata
52	MH684325|B/Uganda/S16_NP-S_E0-66/2013_Yamagata
53	CY199129|B/Brisbane/38/2013_Yamagata
54	CY200393|B/Brisbane/137/2013_Yamagata
55	CY156450|B/Auckland/3/2008_Yamagata
56	CY155650|B/Townsville/15/2005_Yamagata
57	CY155906|B/Sydney/1/2007_Yamagata
58	CY150507|B/Waikato/146/2005_Yamagata
59	CY155226|B/Brisbane/21/2004_Yamagata
5a	CY155962|B/Sydney/2/2007_Yamagata
5b	CY155594|B/Sydney/21/2005_Yamagata
5c	CY018389|B/Egypt/2040/2004_Yamagata
5d	CY018509|B/Colorado/04/2004_Yamagata
5e	CY033852|B/Florida/7/2004_Yamagata
5f	CY152954|B/Sydney/55/2008_Yamagata
60	CY156570|B/Wellington/13/2008_Yamagata
61	CY155922|B/Auckland/1/2007_Yamagata
62	CY033876|B/Florida/4/2006_Yamagata
63	CY150817|B/Christchurch/99/2008_Yamagata
64	CY156738|B/Brisbane/118/2008_Yamagata
65	CY155138|B/Wellington/05/2004_Yamagata
66	CY019539|B/Johannesburg/69/2001_Yamagata
67	CY154682|B/Victoria/142/2002_Yamagata
68	CY019547|B/Argentina/132/2001_Yamagata
69	CY018717|B/Ulan-Ude/6/2003_Yamagata
6a	CY018693|B/Moscow/16/2002_Yamagata
6b	CY022221|B/Chantaburi/218/2003_Yamagata
6c	CY174385|B/New York/1062/2004_Yamagata
6d	CY150443|B/Christchurch/346/2004_Yamagata
6e	CY033844|B/Jiangsu/10/2003_Yamagata
6f	CY154642|B/Sydney/201/2002_Yamagata
70	CY018845|B/California/01/1995_Yamagata
71	CY040441|B/Harbin/7/1994_Yamagata
72	CY019579|B/Chile/3162/2002_Yamagata
73	CY174289|B/New York/1048/2002_Yamagata
74	CY018485|B/Canada/16188/2000_Yamagata
75	CY018445|B/Mexico/84/2000_Yamagata
76	CY018469|B/Alaska/16/2000_Yamagata
77	CY033900|B/Taiwan/634/2001_Yamagata
78	CY018613|B/Johannesburg/05/1999_Yamagata
79	CY018421|B/Romania/217/1999_Yamagata
7a	CY174097|B/New York/1022/2000_Yamagata
7b	AY504623|B/Victoria/504/2000_Yamagata
7c	CY018653|B/Victoria/504/2000_Yamagata
7d	CY018597|B/Paris/549/1999_Yamagata
7e	CY018541|B/Bucharest/311/1998_Yamagata
7f	CY019723|B/Romania/318/1998_Yamagata
80	CY018605|B/Argentina/3640/1999_Yamagata
81	CY018405|B/Georgia/02/1998_Yamagata
82	CY174073|B/New York/1019/1999_Yamagata
83	AY260952|B/Memphis/12/97-MA_Yamagata
84	CY018053|B/Temple/B3/1999_Yamagata
85	CY018031|B/Houston/B61/1997_Yamagata
86	CY019491|B/Singapore/35/1998_Yamagata
87	CY018429|B/Kouchi/193/1999_Yamagata
88	CY018437|B/Brazil/975/2000_Yamagata
89	CY018357|B/Alaska/12/1996_Yamagata
8a	CY174009|B/New York/1011/1995_Yamagata
8b	CY174041|B/New York/1015/1996_Yamagata
8c	CY018533|B/Russia/22/1995_Yamagata
8d	CY019675|B/Bangkok/141/1994_Yamagata
8f	CY019667|B/New York/24/1993_Yamagata
90	CY019699|B/Johannesburg/06/1994_Yamagata
91	CY018805|B/Connecticut/07/1993_Yamagata
92	CY019659|B/Alaska/03/1992_Yamagata
93	CY019635|B/Cordoba/2979/1991_Yamagata
94	CY019643|B/New York/39/1991_Yamagata
95	CY019651|B/Texas/14/1991_Yamagata
96	CY018573|B/Ann Arbor/1994_Yamagata
97	CY018853|B/Connecticut/02/1995_Yamagata
98	CY022229|B/Lisbon/02/1994_Yamagata
99	CY018349|B/Panama/45/1990_Yamagata
9a	CY018781|B/Singapore/04/1991_Yamagata
